Poll,Date,Sample,MoE,Collins (R),McMurray (D),Spread
Final Results,--,--,--,49.4,48.5,Collins +0.9
WHEC-TV/Dixie StrategiesWHEC-TV,10/29 - 10/30,801 LV,3.5,45,38,Collins +7
NY Times/SienaNY Times/Siena,10/24 - 10/29,501 LV,4.8,44,40,Collins +4
SienaSiena,10/6 - 10/11,490 LV,4.7,46,43,Collins +3
