Poll,Date,Sample,MoE,Kirkpatrick (D),Peterson (R),Spread
Final Results,--,--,--,53.3,46.7,Kirkpatrick +6.6
NY Times/SienaNY Times/Siena,9/26 - 10/1,502 LV,4.5,50,39,Kirkpatrick +11
