code,party,turnout
MD7,D,187462
MD7,R,53615
MD8,D,190973
MD8,R,90193
MA1,,
MA2,D,173594
MA2,R,83352
MA3,D,171303
MA3,R,92744
MA4,,
MA5,D,223027
MA5,R,70615
MA6,D,209876
MA6,R,100233
MA7,,
MA8,,
MA9,D,175967
MA9,R,120663
MI1,R,185752
MI1,D,144203
MI2,R,168843
MI2,D,131195
MI3,R,162038
MI3,D,124981
MI4,R,178511
MI4,D,106539
MI5,D,164521
MI5,R,99269
MI6,R,147437
MI6,D,134069
MI7,R,158885
MI7,D,136410
MI8,D,172878
MI8,R,159804
MI9,D,181844
MI9,R,112309
MI10,R,182870
MI10,D,106098
MI11,D,179976
MI11,R,155331
MI12,D,177970
MI12,R,73407
MI13,D,137495
MI13,,18130
MI14,D,202173
MI14,R,37547
MN1,R,146202
MN1,D,144891
MN2,D,177971
MN2,R,159373
MN3,D,202402
MN3,R,160838
MN4,D,216740
MN4,R,97723
MN5,D,267690
MN5,R,74437
MN6,R,192946
MN6,D,122333
MN7,D,146669
MN7,R,134662
MN8,R,159388
MN8,D,141972
MS1,R,154447
MS1,D,74241
MS2,D,148977
MS2,Indp,44921
MS3,R,155840
MS3,D,90193
MS4,R,133805
MS4,D,56371
MO1,D,216479
MO1,R,45255
MO2,R,190008
MO2,D,174486
MO3,R,211000
MO3,D,106478
MO4,R,185245
MO4,D,93861
MO5,D,173592
MO5,R,100695
MO6,R,199580
MO6,D,97515
MO7,R,195872
MO7,D,88642
MO8,R,190826
MO8,D,65043
MTAL,R,236379
MTAL,D,205911
NE1,R,137632
NE1,D,90551
NE2,R,121466
NE2,D,114154
NE3,R,162968
NE3,D,49473
NV1,D,99892
NV1,R,46465
NV2,R,167427
NV2,D,120091
NV3,D,147048
NV3,R,121505
NV4,D,120888
NV4,R,101748
NH1,D,154583
NH1,R,129377
NH2,D,152022
NH2,R,114449
NJ1,D,136540
NJ1,R,73702
NJ2,D,122562
NJ2,R,108822
NJ3,R,136408
NJ3,D,134093
NJ4,R,156271
NJ4,D,119394
NJ5,D,148021
NJ5,R,116505
NJ6,D,121502
NJ6,R,72337
NJ7,D,138729
