Poll,Date,Sample,MoE,Craig (D),Lewis (R),Spread
Final Results,--,--,--,52.8,47.2,Craig +5.6
NY Times/SienaNY Times/Siena,9/29 - 10/2,487 LV,5.0,51,39,Craig +12
KSTP/SurveyUSAKSTP-TV,9/17 - 9/23,569 LV,4.5,48,45,Craig +3
