Poll,Date,Sample,Perry (R),Scott (D),Spread
Final Results,--,--,51.4,48.6,Perry +2.8
RCP Average,10/19 - 10/26,--,47.0,44.5,Perry +2.5
NY Times/SienaNY Times/Siena,10/24 - 10/26,498 LV,45,43,Perry +2
SusquehannaSusquehanna,10/19 - 10/21,366 LV,49,46,Perry +3
PPP (D)PPP (D),9/24 - 9/25,650 RV,44,43,Perry +1
