Poll,Date,Sample,Axne (D),Young (R),Spread
Monmouth*Monmouth*,10/15 - 10/20,426 LV,53,42,Axne +11
Monmouth*Monmouth*,7/25 - 8/3,507 LV,50,42,Axne +8
