Poll,Date,Sample,MoE,Buchanan (R),Shapiro (D),Spread
Final Results,--,--,--,54.6,45.4,Buchanan +9.2
POS (R)POS (R),10/4 - 10/7,400 LV,4.9,52,42,Buchanan +10
St. Pete PollsSt. Pete Polls,10/1 - 10/1,1248 LV,2.8,50,43,Buchanan +7
UNFUNF,9/30 - 10/2,499 LV,4.4,49,40,Buchanan +9
St. Pete PollsSt. Pete Polls,7/28 - 7/28,681 LV,3.8,44,35,Buchanan +9
