Poll,Date,Sample,MoE,Hurd (R),Ortiz Jones (D),Spread
Final Results,--,--,--,49.2,48.7,Hurd +0.5
NY Times/SienaNY Times/Siena,10/13 - 10/18,488 LV,5.0,53,38,Hurd +15
NY Times/SienaNY Times/Siena,9/10 - 9/11,495 LV,5.0,51,43,Hurd +8
