Poll,Date,Sample,Golden (D),Crafts (R),Spread
RCP Average,9/11 - 10/6,--,56.0,34.3,Golden +21.7
Pan AtlanticPan Atlantic,10/2 - 10/6,300 LV,60,33,Golden +27
Bangor Daily NewsBDN,9/25 - 10/4,234 LV,52,34,Golden +18
Colby CollegeColby,9/17 - 9/23,275 LV,56,33,Golden +23
NY Times/SienaNYT/Siena,9/11 - 9/16,663 LV,56,37,Golden +19
Bangor Daily NewsBDN,7/28 - 8/9,249 RV,42,33,Golden +9
Colby CollegeColby,7/18 - 7/24,447 LV,45,33,Golden +12
