code,party,turnout
IL13,GOP,135680
IL13,Dem,131958
IL14,Dem,142261
IL14,GOP,131819
IL15,GOP,177682
IL15,Dem,69234
IL16,GOP,149205
IL16,Dem,100789
IL17,Dem,139461
IL17,GOP,86218
IL18,GOP,193543
IL18,Dem,93330
IN1,Dem,121800
IN1,GOP,58903
IN2,GOP,117901
IN2,Dem,88588
IN3,GOP,158355
IN3,Dem,86420
IN4,GOP,148603
IN4,Dem,83200
IN5,GOP,175768
IN5,Dem,126586
IN6,GOP,138557
IN6,Dem,73004
IN7,Dem,116673
IN7,GOP,69047
IN8,GOP,157209
IN8,Dem,86409
IN9,GOP,144541
IN9,Dem,98292
IA1,Dem,169348
IA1,GOP,152940
IA2,Dem,171054
IA2,GOP,133010
IA3,Dem,169886
IA3,GOP,164656
IA4,GOP,157221
IA4,Dem,146698
KS1,GOP,149708
KS1,Dem,69076
KS2,GOP,124895
KS2,Dem,120421
KS3,Dem,164253
KS3,GOP,136104
KS4,GOP,138856
KS4,Dem,93384
ME1,Dem,190348
ME1,GOP,103185
ME2,GOP,120214
ME2,Dem,120030
MD1,GOP,176595
MD1,Dem,109617
MD2,Dem,157764
MD2,GOP,74493
MD3,Dem,186207
MD3,GOP,78167
MD4,Dem,194129
MD4,GOP,50292
MD5,Dem,200425
MD5,GOP,78117
MD6,Dem,142656
MD6,GOP,97330
MD7,Dem,187462
MD7,GOP,53615
MD8,Dem,190973
MD8,GOP,90193
MA1,,
MA2,Dem,173594
MA2,GOP,83352
MA3,Dem,171303
MA3,GOP,92744
MA4,,
MA5,Dem,223027
MA5,GOP,70615
MA6,Dem,209876
MA6,GOP,100233
MA7,,
MA8,,
MA9,Dem,175967
MA9,GOP,120663
MI1,GOP,185752
MI1,Dem,144203
MI2,GOP,168843
MI2,Dem,131195
MI3,GOP,162038
MI3,Dem,124981
MI4,GOP,178511
MI4,Dem,106539
MI5,Dem,164521
MI5,GOP,99269
MI6,GOP,147437
MI6,Dem,134069
MI7,GOP,158885
MI7,Dem,136410
MI8,Dem,172878
MI8,GOP,159804
MI9,Dem,181844
MI9,GOP,112309
MI10,GOP,182870
MI10,Dem,106098
MI11,Dem,179976
MI11,GOP,155331
MI12,Dem,177970
MI12,GOP,73407
MI13,Dem,137495
MI13,,18130
MI14,Dem,202173
MI14,GOP,37547
MN1,GOP,146202
MN1,Dem,144891
MN2,Dem,177971
MN2,GOP,159373
MN3,Dem,202402
MN3,GOP,160838
MN4,Dem,216740
MN4,GOP,97723
MN5,Dem,267690
MN5,GOP,74437
MN6,GOP,192946
MN6,Dem,122333
MN7,Dem,146669
MN7,GOP,134662
MN8,GOP,159388
MN8,Dem,141972
MS1,GOP,154447
MS1,Dem,74241
MS2,Dem,148977
MS2,Indp,44921
MS3,GOP,155840
MS3,Dem,90193
MS4,GOP,133805
MS4,Dem,56371
MO1,Dem,216479
MO1,GOP,45255
MO2,GOP,190008
MO2,Dem,174486
MO3,GOP,211000
MO3,Dem,106478
MO4,GOP,185245
MO4,Dem,93861
MO5,Dem,173592
MO5,GOP,100695
MO6,GOP,199580
MO6,Dem,97515
MO7,GOP,195872
MO7,Dem,88642
MO8,GOP,190826
MO8,Dem,65043
MTAL,GOP,236379
MTAL,Dem,205911
NE1,GOP,137632
NE1,Dem,90551
NE2,GOP,121466
NE2,Dem,114154
NE3,GOP,162968
NE3,Dem,49473
NV1,Dem,99892
NV1,GOP,46465
NV2,GOP,167427
NV2,Dem,120091
NV3,Dem,147048
NV3,GOP,121505
NV4,Dem,120888
NV4,GOP,101748
NH1,Dem,154583
NH1,GOP,129377
NH2,Dem,152022
NH2,GOP,114449
NJ1,Dem,136540
NJ1,GOP,73702
NJ2,Dem,122562
NJ2,GOP,108822
NJ3,GOP,136408
NJ3,Dem,134093
NJ4,GOP,156271
NJ4,Dem,119394
NJ5,Dem,148021
NJ5,GOP,116505
NJ6,Dem,121502
NJ6,GOP,72337
NJ7,Dem,138729
NJ7,GOP,131935
NJ8,Dem,105041
NJ8,GOP,25621
NJ9,Dem,121236
NJ9,GOP,50499
NJ10,Dem,153712
NJ10,GOP,18301
NJ11,Dem,155916
NJ11,GOP,118547
NJ12,Dem,145274
NJ12,GOP,67389
NM1,Dem,144299
NM1,GOP,89062
NM2,GOP,94431
NM2,Dem,92459
NM3,Dem,154057
NM3,GOP,76043
NY1,GOP,130919
NY1,Dem,115795
NY2,GOP,122103
NY2,Dem,106996
NY3,Dem,145060
NY3,GOP,103278
NY4,Dem,149078
NY4,GOP,95187
NY5,,
NY6,Dem,103823
NY6,GP,10514
NY7,Dem,137444
NY7,,8107
NY8,Dem,166981
NY8,,9514
NY9,Dem,167199
NY9,GOP,19336
NY10,Dem,146749
NY10,GOP,33931
NY11,Dem,95458
NY11,GOP,84665
NY12,Dem,194974
NY12,GOP,27838
NY13,Dem,167667
NY13,GOP,9525
NY14,Dem,100044
NY14,GOP,17762
NY15,Dem,112798
NY15,GOP,4647
NY16,,
NY17,Dem,157275
NY17,,21640
NY18,Dem,118342
NY18,GOP,96594
NY19,Dem,122644
NY19,GOP,117029
NY20,Dem,163148
NY20,GOP,83788
NY21,GOP,122863
NY21,Dem,90526
NY22,Dem,117779
NY22,GOP,116357
NY23,GOP,122881
NY23,Dem,100495
NY24,GOP,129276
NY24,Dem,114102
NY25,Dem,149993
NY25,GOP,105925
NY26,Dem,157086
NY26,GOP,58128
NY27,GOP,132402
NY27,Dem,129594
NC1,Dem,188074
NC1,GOP,81486
NC2,GOP,167382
NC2,Dem,148959
NC3,,
NC4,Dem,242002
NC4,GOP,80546
NC5,GOP,158444
NC5,Dem,118558
NC6,GOP,159651
NC6,Dem,122323
NC7,GOP,155705
NC7,Dem,119606
NC8,GOP,140347
NC8,Dem,112971
NC9,GOP,138338
NC9,Dem,136478
NC10,GOP,164060
NC10,Dem,112386
NC11,GOP,177230
NC11,Dem,115824
NC12,Dem,202228
NC12,GOP,74639
NC13,GOP,145962
NC13,Dem,128764
NDAL,GOP,192733
NDAL,Dem,113891
OH1,GOP,151107
OH1,Dem,135467
OH2,GOP,163450
OH2,Dem,115777
OH3,Dem,174421
OH3,GOP,63470
OH4,GOP,164640
OH4,Dem,87061
OH5,GOP,173894
OH5,Dem,97352
OH6,GOP,169668
OH6,Dem,75196
OH7,GOP,150317
OH7,Dem,105105
OH8,GOP,170561
OH8,Dem,84738
OH9,Dem,152682
OH9,GOP,73183
OH10,GOP,153640
OH10,Dem,114699
OH11,Dem,197147
OH11,GOP,43443
OH12,GOP,171757
OH12,Dem,156863
OH13,Dem,149271
OH13,GOP,96225
OH14,GOP,166483
OH14,Dem,134059
OH15,GOP,166632
OH15,Dem,112546
OH16,GOP,166933
OH16,Dem,126736
OK1,GOP,149938
OK1,Dem,102878
OK2,GOP,140305
OK2,Dem,64958
OK3,GOP,172757
OK3,Dem,61095
OK4,GOP,149127
OK4,Dem,78022
OK5,Dem,121013
OK5,GOP,117725
OR1,Dem,184293
OR1,GOP,94784
OR2,GOP,203216
OR2,Dem,140954
OR3,Dem,244154
OR3,GOP,68105
OR4,Dem,204046
OR4,GOP,149616
OR5,Dem,176469
OR5,GOP,134720
LA1,GOP,192555
LA1,Dem,44273
LA2,Dem,190182
LA2,,20465
LA3,GOP,136876
LA3,Dem,43729
LA4,GOP,139326
LA4,Dem,72934
LA5,GOP,149018
LA5,Dem,67118
LA6,GOP,186553
LA6,Dem,55089
PA1,GOP,168841
PA1,Dem,160098
PA2,Dem,154771
PA2,GOP,41472
PA3,Dem,275418
PA3,GOP,19550
PA4,Dem,210216
PA4,GOP,121117
PA5,Dem,189957
PA5,GOP,101861
PA6,Dem,175516
PA6,GOP,122896
PA7,Dem,137122
PA7,GOP,111862
PA8,Dem,134519
PA8,GOP,111640
PA9,GOP,146675
PA9,Dem,98232
PA10,GOP,148790
PA10,Dem,140956
PA11,GOP,162227
PA11,Dem,112605
PA12,GOP,159251
PA12,Dem,81390
PA13,GOP,175046
PA13,Dem,73494
PA14,GOP,149147
PA14,Dem,108179
PA15,GOP,161990
PA15,Dem,76502
PA16,GOP,130580
PA16,Dem,119412
PA17,Dem,176293
PA17,GOP,137906
PA18,,
RI1,Dem,114604
RI1,GOP,57115
RI2,Dem,125090
RI2,GOP,71716
SC1,Dem,144828
SC1,GOP,140792
SC2,GOP,141577
SC2,Dem,104272
SC3,GOP,152417
SC3,Dem,69662
SC4,GOP,144990
SC4,Dem,88849
SC5,GOP,140417
SC5,Dem,102167
SC6,Dem,139006
SC6,GOP,56377
SC7,GOP,140938
SC7,Dem,95438
SDAL,GOP,202673
SDAL,Dem,121002
TN1,GOP,172708
TN1,Dem,47087
TN2,GOP,171994
TN2,Dem,86635
TN3,GOP,156385
TN3,Dem,84632
TN4,GOP,147196
TN4,Dem,77955
TN5,Dem,177661
TN5,GOP,84196
TN6,GOP,172682
TN6,Dem,70298
TN7,GOP,169769
TN7,Dem,81574
TN8,GOP,166400
TN8,Dem,74126
TN9,Dem,143690
TN9,GOP,34710
TX1,GOP,167734
TX1,Dem,60957
TX2,GOP,138502
TX2,Dem,118570
TX3,GOP,168775
TX3,Dem,137547
TX4,GOP,188003
TX4,Dem,57209
TX5,GOP,130404
TX5,Dem,78394
TX6,GOP,135779
TX6,Dem,116040
TX7,Dem,126168
TX7,GOP,114859
TX8,GOP,198241
TX8,Dem,67027
TX9,Dem,135427
TX9,,16643
TX10,GOP,154652
TX10,Dem,142511
TX11,GOP,174749
TX11,Dem,40028
TX12,GOP,172205
TX12,Dem,90676
TX13,GOP,162317
TX13,Dem,33956
TX14,GOP,137582
TX14,Dem,90937
TX15,Dem,97991
TX15,GOP,62867
TX16,Dem,122676
TX16,GOP,48495
TX17,GOP,130751
TX17,Dem,96655
TX18,Dem,137567
TX18,GOP,38081
TX19,GOP,152012
TX19,Dem,49941
TX20,Dem,138249
TX20,Libt,32727
TX21,GOP,176913
TX21,Dem,167020
TX22,GOP,152318
TX22,Dem,137500
TX23,GOP,102903
TX23,Dem,102214
TX24,GOP,132992
TX24,Dem,124580
TX25,GOP,162288
TX25,Dem,135288
TX26,GOP,185268
TX26,Dem,121584
TX27,GOP,124958
TX27,Dem,75761
TX28,Dem,117178
TX28,Libt,21647
TX29,Dem,87679
TX29,GOP,27945
TX30,Dem,166102
TX30,Libt,16318
TX31,GOP,143330
TX31,Dem,134675
TX32,Dem,142885
TX32,GOP,125600
TX33,Dem,90311
TX33,GOP,26007
TX34,Dem,85647
TX34,GOP,57157
TX35,Dem,137325
TX35,GOP,50276
TX36,GOP,160592
TX36,Dem,60486
UT1,GOP,124377
UT1,Dem,48372
UT2,GOP,122540
UT2,Dem,79510
UT3,GOP,108476
UT3,Dem,46477
UT4,Dem,93994
UT4,GOP,89280
VTAL,Dem,188146
VTAL,GOP,70490
VA1,GOP,179296
VA1,Dem,142508
VA2,Dem,139328
VA2,GOP,133319
VA3,,
VA4,Dem,184250
VA4,GOP,105446
VA5,GOP,165107
VA5,Dem,144493
VA6,GOP,168334
VA6,Dem,112438
VA7,Dem,170737
VA7,GOP,165962
VA8,Dem,246831
VA8,GOP,76492
VA9,GOP,160888
VA9,Dem,85658
VA10,Dem,202557
VA10,GOP,157561
VA11,Dem,213587
VA11,GOP,81375
WA1,Dem,129442
WA1,GOP,91454
WA2,Dem,135831
WA2,Libt,51709
WA3,GOP,115616
WA3,Dem,105654
WA4,GOP,85149
WA4,Dem,45040
WA5,GOP,103238
WA5,Dem,81295
WA6,Dem,124292
WA6,GOP,73561
WA7,Dem,224351
WA7,GOP,44732
WA8,Dem,104520
WA8,GOP,92900
WA9,Dem,111449
WA9,Dem,47502
WA10,Dem,89137
WA10,GOP,57272
WV1,GOP,128725
WV1,Dem,70402
WV2,GOP,109018
WV2,Dem,86678
WV3,GOP,98048
WV3,Dem,75776
WI1,GOP,177490
WI1,Dem,137507
WI2,,
WI3,Dem,187615
WI3,GOP,126897
WI4,Dem,208127
WI4,GOP,60240
WI5,GOP,223989
WI5,Dem,136995
WI6,GOP,180314
WI6,Dem,144530
WI7,GOP,193126
WI7,Dem,123548
WI8,GOP,209400
WI8,Dem,119263
WYAL,GOP,127882
WYAL,Dem,59929
