Poll,Date,Sample,MoE,Bost (R),Kelly (D),Spread
Final Results,--,--,--,51.8,45.2,Bost +6.6
NY Times/SienaNY Times/Siena,10/18 - 10/22,502 LV,4.7,48,39,Bost +9
NY Times/SienaNY Times/Siena,9/4 - 9/7,533 LV,4.6,44,43,Bost +1
