Poll,Date,Sample,MoE,Bacon (R),Eastman (D),Spread
Final Results,--,--,--,51.6,48.4,Bacon +3.2
NY Times/SienaNY Times/Siena,9/22 - 9/26,512 LV,4.5,51,42,Bacon +9
