Poll,Date,Sample,MoE,Pappas (D),Mowers (R),Spread
RCP Average,10/1 - 10/12,--,--,51.0,42.0,Pappas +9.0
UNH*UNH*,10/9 - 10/12,477 LV,4.5,53,43,Pappas +10
St. Anselm*St. Anselm*,10/1 - 10/4,595 LV,4.0,49,41,Pappas +8
UNH*UNH*,9/24 - 9/28,504 LV,4.4,56,38,Pappas +18
