Poll,Date,Sample,MoE,Shalala (D),Salazar (R),Spread
Final Results,--,--,--,51.8,45.8,Shalala +6.0
NY Times/SienaNY Times/Siena,10/15 - 10/19,542 LV,5.0,44,37,Shalala +7
Mason-DixonMason-Dixon,10/1 - 10/6,625 LV,4.0,42,44,Salazar +2
