Poll,Date,Sample,MoE,Bice  (R),Horn (D),Spread
RCP Average,9/25 - 10/20,--,--,48.0,47.0,Bice  +1.0
Sooner PollSooner Poll,10/15 - 10/20,943 LV,3.2,47,49,Horn +2
CHS & AssociatesCHS,9/25 - 9/30,500 LV,4.3,49,45,Bice  +4
Sooner PollSooner Poll,9/2 - 9/10,318 LV,5.5,45,44,Bice  +1
