Poll,Date,Sample,MoE,Kuster (D),Negron (R),Spread
RCP Average,10/1 - 10/12,--,--,50.5,41.5,Kuster +9.0
UNH*UNH*,10/9 - 10/12,422 LV,4.8,49,45,Kuster +4
St. Anselm*St. Anselm*,10/1 - 10/4,552 LV,4.2,52,38,Kuster +14
UNH*UNH*,9/24 - 9/28,465 LV,4.5,48,42,Kuster +6
