Poll,Date,Sample,MoE,Trump (R),Biden (D),Spread
Missouri Scout*Missouri Scout*,10/14 - 10/15,1010 LV,--,51,45,Trump +6
SLU/YouGovSt. Louis U.,9/24 - 10/7,931 LV,3.9,52,43,Trump +9
Missouri ScoutMissouri Scout,9/30 - 10/1,980 LV,3.3,51,46,Trump +5
Missouri ScoutMissouri Scout,9/16 - 9/17,1046 LV,3.0,53,45,Trump +8
WeAskAmericaWeAskAmerica,9/1 - 9/3,500 LV,4.4,49,44,Trump +5
Trafalgar Group (R)*Trafalgar (R)*,8/26 - 8/28,1015 LV,3.0,52,41,Trump +11
SLU/YouGovSt. Louis U.,6/23 - 7/1,900 LV,4.0,50,43,Trump +7
Missouri ScoutMissouri Scout,6/10 - 6/11,1152 LV,2.9,51,43,Trump +8
WeAskAmericaWeAskAmerica,5/26 - 5/27,500 LV,4.4,48,44,Trump +4
