Poll,Date,Sample,MoE,Trump (R),Biden (D),Spread
Deseret News/Hinckley Inst.*Deseret News*,10/12 - 10/17,1000 LV,3.1,50,38,Trump +12
Y2 AnalyticsY2 Analytics,9/26 - 10/4,1214 LV,2.8,50,40,Trump +10
Deseret News/Hinckley Inst.*Deseret News*,9/7 - 9/12,1000 LV,3.1,53,35,Trump +18
Deseret News/Hinckley Inst.*Deseret News*,7/27 - 8/1,1000 RV,3.1,50,31,Trump +19
KUTV-2/Y2 Analytics*KUTV*,5/9 - 5/15,1078 LV,3.0,46,40,Trump +6
Deseret News/Hinckley Inst.*Deseret News*,4/15 - 4/21,964 RV,3.2,51,32,Trump +19
KUTV-2/Y2 Analytics*KUTV*,3/21 - 3/30,1331 LV,2.8,46,41,Trump +5
Deseret News/Hinckley Inst.*Deseret News*,2/24 - 3/1,1000 RV,3.1,50,33,Trump +17
Deseret News/Hinckley Inst.*Deseret News*,1/15 - 1/22,1017 RV,3.1,49,31,Trump +18
