Poll,Date,Sample,MoE,Hyde-Smith (R),Espy (D),Spread
Final Results,--,--,--,53.9,46.1,Hyde-Smith +7.8
Bold Blue Campaigns/JMCBold Blue Campaigns/JMC,11/19 - 11/21,684 LV,4.0,54,44,Hyde-Smith +10
NBC News/MaristNBC News/Marist,10/13 - 10/18,511 LV,6.1,50,36,Hyde-Smith +14
Mason-DixonMason-Dixon,4/12 - 4/14,625 RV,4.0,46,34,Hyde-Smith +12
