Poll,Date,Sample,MoE,Smith (D),Housley (R),Spread
Final Results,--,--,--,53.0,42.4,Smith +10.6
KSTP/SurveyUSAKSTP-TV,10/29 - 10/31,600 LV,5.3,48,40,Smith +8
Star Tribune/Mason-Dixon*Star Tribune/Mason-Dixon*,10/15 - 10/17,800 LV,3.5,47,41,Smith +6
NBC News/MaristNBC/Marist,9/30 - 10/4,637 LV,4.9,54,38,Smith +16
Star Tribune/Mason-DixonStar Tribune,9/10 - 9/12,800 LV,3.5,44,37,Smith +7
KSTP/SurveyUSAKSTP-TV,9/6 - 9/8,574 LV,4.9,48,39,Smith +9
Suffolk*Suffolk*,8/17 - 8/20,500 LV,4.4,44,37,Smith +7
EmersonEmerson,8/8 - 8/11,500 LV,4.6,32,28,Smith +4
NBC News/MaristNBC/Marist,7/15 - 7/19,876 RV,4.0,49,35,Smith +14
