Poll,Date,Sample,MoE,Tuberville (R),Jones (D),Spread
Auburn Univ.Auburn,9/30 - 10/3,1072 RV,4.0,54,42,Tuberville +12
AL Daily News/Mason-DixonMason-Dixon,2/4 - 2/6,625 RV,4.0,50,42,Tuberville +8
