Poll,Date,Sample,MoE,Lujan (D),Ronchetti (R),Spread
PPP (D)*PPP (D)*,9/30 - 10/1,886 LV,3.3,51,41,Lujan +10
Albuquerque Journal*Albuquerque Journal*,8/28 - 9/2,1123 LV,2.9,49,40,Lujan +9
PPP (D)PPP (D),6/12 - 6/13,740 RV,3.6,48,34,Lujan +14
