Poll,Date,Sample,MoE,Booker (D),Mehta (R),Spread
EmersonEmerson,9/4 - 9/7,500 LV,4.4,52,28,Booker +24
MonmouthMonmouth,4/16 - 4/19,635 RV,3.9,55,32,Booker +23
