Poll,Date,Sample,MoE,Marshall (R),Bollier (D),Spread
NY Times/Siena*NYT/Siena*,10/18 - 10/20,755 LV,4.0,46,42,Marshall +4
SurveyUSASUSA,8/5 - 8/9,1202 LV,3.3,46,44,Marshall +2
