Poll,Date,Sample,MoE,Graham (R),Harrison (D),Spread
NY Times/Siena*NYT/Siena*,10/9 - 10/15,605 LV,4.5,46,40,Graham +6
QuinnipiacQuinnipiac,9/23 - 9/27,1123 LV,2.9,48,48,Tie
CBS News/YouGovCBS News,9/22 - 9/25,1065 LV,3.8,45,44,Graham +1
QuinnipiacQuinnipiac,9/10 - 9/14,969 LV,3.2,48,48,Tie
QuinnipiacQuinnipiac,7/30 - 8/3,914 RV,3.3,44,44,Tie
GravisGravis,7/17 - 7/17,604 LV,4.0,48,41,Graham +7
NBC News/MaristNBC/Marist,2/18 - 2/21,2382 RV,2.6,54,37,Graham +17
East Carolina U.ECU,1/31 - 2/2,1756 RV,2.7,51,38,Graham +13
