Poll,Date,Sample,MoE,Sullivan (R),Gross (I),Spread
NY Times/Siena*NYT/Siena*,10/9 - 10/14,423 LV,5.7,45,37,Sullivan +8
PPP (D)PPP (D),7/7 - 7/8,1081 RV,3.0,39,34,Sullivan +5
