Poll,Date,Sample,MoE,Feehan (D),Hagedorn (R),Spread
Final Results,--,--,--,49.8,50.2,Hagedorn +0.4
KSTP/SurveyUSAKSTP-TV,10/17 - 10/21,586 LV,4.4,47,45,Feehan +2
