Poll,Date,Sample,MoE,Underwood (D),Hultgren (R),Spread
Final Results,--,--,--,51.9,48.1,Underwood +3.8
NY Times/SienaNY Times/Siena,10/31 - 11/4,428 LV,5.0,49,43,Underwood +6
NY Times/SienaNY Times/Siena,10/3 - 10/8,501 LV,4.6,43,47,Hultgren +4
