Poll,Date,Sample,MoE,Lee (D),Tarkanian (R),Spread
Final Results,--,--,--,51.9,42.8,Lee +9.1
EmersonEmerson,11/1 - 11/4,332 LV,5.6,51,41,Lee +10
Emerson*Emerson*,10/10 - 10/12,178 LV,7.6,41,39,Lee +2
