Poll,Date,Sample,MoE,Gianforte (R),Williams (D),Spread
Final Results,--,--,--,51.1,46.0,Gianforte +5.1
RCP Average,9/15 - 10/26,--,--,46.7,43.0,Gianforte +3.7
GravisGravis,10/24 - 10/26,782 LV,3.5,48,48,Tie
MSU-Billings*MSU-Billings*,10/8 - 10/13,471 LV,--,44,41,Gianforte +3
MTN-MSU*MTN-MSU*,9/15 - 10/6,2079 RV,--,48,40,Gianforte +8
GravisGravis,9/19 - 9/22,710 LV,3.7,51,42,Gianforte +9
GravisGravis,6/11 - 6/13,469 LV,4.5,43,49,Williams +6
