Poll,Date,Sample,MoE,Cockburn (D),Riggleman (R),Spread
Final Results,--,--,--,46.7,53.3,Riggleman +6.6
NY Times/SienaNY Times/Siena,10/16 - 10/22,501 LV,4.6,46,45,Cockburn +1
