"Rank","Race","Total Spent"
"1","South Carolina Senate","$164474026"
"2","Arizona* Senate","$126042499"
"3","Kentucky Senate","$118249571"
"4","Maine Senate","$72984969"
"5","Michigan Senate","$70312527"
"6","Iowa Senate","$67779494"
"7","North Carolina Senate","$67028665"
"8","Montana Senate","$65492183"
"9","Colorado Senate","$64422344"
"10","Texas Senate","$51666255"
