"Rank","Race","Total Spent"
"1","Louisiana District 01","$29423247"
"2","New York District 14","$26199298"
"3","California District 22","$22714865"
"4","California District 23","$20596203"
"5","Minnesota District 05","$20002827"
"6","California District 12","$18137890"
"7","California District 50","$17236637"
"8","Texas District 22","$17181338"
"9","Texas District 02","$16289799"
"10","Ohio District 04","$13725194"
